,Kursname,Fachbereich,Zugeordnete Einrichtungen,verantwortliche Lehrpersonen,Lehrpersonen,Veranstaltungsart,Kürzel,Semester,SWS,Credits,Link
5231,Hessische Verfassung versus Grundgesetz,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],"['Fachbereich 1 -  Rechtswissenschaft', 'Westend Veranstaltungen im WS 2020/21']",[],"[[""Sacksofsky< Ute< Univ.-Prof'in Dr."", '']]",Seminar (Blockveranstaltung),CS-NH,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=309998&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5232,Grundlegende Entscheidungen und aktuelle Entwicklungen im Polizeirecht,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],['Fachbereich 1 -  Rechtswissenschaft'],[],"[['Donath< Philipp Benjamin< Dr.', '']]",Seminar (Blockveranstaltung),,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=310208&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5233,Grundlagen und aktuelle Fragen des Steuerrechts,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],['Professur für Steuerrecht und Zivilrecht'],[],"[['Lamprecht< Philipp< Univ.-Prof. Dr.', '']]",Seminar,,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=306402&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5234,Europarecht in der Covid-Krise,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],"['Fachbereich 1 -  Rechtswissenschaft', 'Institutsübergreifende Einrichtungen des FB 01', 'Westend Veranstaltungen im WS 2020/21']",[],[],Seminar (Blockveranstaltung),CS-PR,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=308431&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5235,Die Behandlung von Verlusten im Steuerrecht,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],['Fachbereich 1 -  Rechtswissenschaft'],[],"[['Eckl< Petra< Dr.', '']]",Seminar (Blockveranstaltung),,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=310256&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5236,Datenschutz im Recht der inneren Sicherheit,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],['Fachbereich 1 -  Rechtswissenschaft'],[],[],Seminar (Blockveranstaltung),,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=314158&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5237,Besonderes Verwaltungsrecht,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],"['Professur für Öffentliches Recht, Umweltrecht, Informationsrecht und Verwaltungswissenschaften']",[],"[['keine öffentliche Person', '']]",Kolloquium,,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=318828&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5238,Aktuelle Fragen des Steuerrechts,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],['Fachbereich 1 -  Rechtswissenschaft'],[],"[['Schiessl< Martin< Dr.', '']]",Seminar (Blockveranstaltung),,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=310410&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5239,Vorlesungsvertiefung Barock,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],"['Professur für Mittelalterliche Rechtsgeschichte, Neuere Rechtsgeschichte und Zivilrecht', 'Westend Veranstaltungen im WS 2020/21']",[],"[['Cordes< Albrecht< Univ.-Prof. Dr.', '']]",Kolloquium,CS-NH,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=305757&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5240,Mit offenem Visier –  Ritter und Burgen im Recht,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],"['Fachbereich 1 -  Rechtswissenschaft', 'Westend Veranstaltungen im WS 2020/21']",[],"[['Cordes< Albrecht< Univ.-Prof. Dr.', '']]",Seminar (Blockveranstaltung),CS-NH,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=308497&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
