,Kursname,Fachbereich,Zugeordnete Einrichtungen,verantwortliche Lehrpersonen,Lehrpersonen,Veranstaltungsart,Kürzel,Semester,SWS,Credits,Link
23,Grundlagen des wissenschaftlichen Arbeitens,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Müller< Helmut-Gerhard', '']]",Anleitung zum wiss. Arbeiten,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265275&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
24,Gedächtnistraining- Merktechniken und Lern-Methoden,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Müller< Helmut-Gerhard', '']]",Anleitung zum wiss. Arbeiten,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265274&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
25,Erstellen von wissenschaftlichen Arbeiten mit MS Word und MS PowerPoint,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Hartmann< Renate', '']]",Anleitung zum wiss. Arbeiten,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265276&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
26,Die Kunst des wissenschaftlichen Lesens,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],[],Anleitung zum wiss. Arbeiten,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265265&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
27,Schmerzbilder im Bereiche des Brustkorbs,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Hach< Wolfgang< Prof. Dr.', '']]",Vorlesung,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265324&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
28,Medizin im Alter,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Reetz< Klaus-Peter< Dr. Dr.', '']]",Vorlesung,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265244&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
29,Impfen oder Nichtimpfen – das ist die Frage?,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Reetz< Klaus-Peter< Dr. Dr.', '']]",Vorlesung,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=271782&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
30,Tutorium für Naturwissenschaften: Biologie und Chemie,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Reinhardt< Ellen', '']]",Tutorium,,SoSe 2019,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=273800&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
31,Neurophysiologische Experimente zur Willensfreiheit,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Gögelein< Heinz< Prof. Dr.', '']]",Vorlesung,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265237&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
32,Im Wasser leben und überleben – Lebensgemeinschaften im Süßwasser,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Winter (FB 15)< Christian< Prof. Dr.', '']]",Übung,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265261&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
33,Rolle der Chemie in der Weltgeschichte,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Reetz< Klaus-Peter< Dr. Dr.', '']]",Vorlesung,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265260&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
34,Vortragsreihe in Kooperation mit dem Physikalischen Verein: Dunkle Materie und Dunkle Energie im Kosmos,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Deiss< Bruno Martin< Apl. Prof. Dr.', '']]",Ringvorlesung,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=272952&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
35,Kristallzüchtung ausgewählter Systeme,['Weitere Studienangebote'],['Physikalisches Institut'],"[['Aßmus< Wolf< Prof. Dr.', 'verantwortlich']]",[],Vorlesung,,SoSe 2019,1,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=266160&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
36,Einführung in die Physik,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Engemann< Detlef< Dr.', '']]",Vorlesung mit Seminar,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265258&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
37,Abriss der Astronomie II – Physik der Sterne,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Ströter< Berthold< Dr.', '']]",Vorlesung,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265221&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
38,Zwischen Augustinus und Luther. Prädestination und Freiheit in theologischen Quellen von der Spätantike bis zur Frühen Neuzeit,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Füllgrabe< Jörg< Dr.', '']]",Seminar,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265154&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
39,Zeitgenössisches Theater,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Hennies< Astrid', '']]",Vorlesung,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265263&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
40,Umberto Eco: Das Foucaultsche Pendel,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Garcia Simon< Diana< Dr.', '']]",Vorlesung,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265236&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
41,Subsaharische Literatur und koloniale Vergangenheit,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Seiler-Dietrich< Almut< Dr.', '']]",Seminar,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=271319&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
42,Schicksal und Zufall- menschliche Freiheit und Determination im Spiegel der europäischen Literatur,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Alsleben-Baumann< Claudia< Dr.', '']]",Seminar,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265179&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
43,Religion- Mythos- Verstand: Amerikanische Kultur,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],[],Vorlesung,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265234&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
44,Neue Bücher – Alte Fragen,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Fink< Adolf< Dr.', '']]",Seminar,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=265201&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
45,Macht und Legitimität in Shakespeares „Henriad“,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Richards< Stephen< Dr.', '']]",Seminar,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=268575&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
46,Joseph Conrad: Herz der Finsternis / Heart of Darkness (1902),['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],[],Seminar,,SoSe 2019,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=270926&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
