,Person,Institut
138,Diouan (geb. Schneider) < Almut Charlotte <  < ,Institut für Öffentliches Recht
139,Drechsler < Jannes <  < ,Institut für Zivil- und Wirtschaftsrecht
140,Dröll < Felix <  < ,Institut für Internationales und Europäisches Privatrecht und Rechtsvergleichung
141,Grotkamp < Nadine < Priv. Doz. Dr. Dr. < ,Institut für Rechtsgeschichte
142,Kneip < Simon <  < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
143,Pauli < Jonas <  < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
144,Schickedanz (FB 01) < Alexander <  < ,Zentrale Einrichtungen
145,Veeckman < Verena <  < ,Institut für Öffentliches Recht
146,Völzmann < Berit < Priv. Doz. Dr. < ,Institut für Öffentliches Recht
147,Winkler < Dennis <  < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
148,Barasinski < Aleksander <  < ,Zentrum für Schlüsselqualifikationen
149, <  <  < ,Bitte manuell einfügen
150,Bayrak < Orhan < Dr. < ,Institut für Öffentliches Recht
151,Beller < Katherine <  < ,Zentrum für Schlüsselqualifikationen
152,Bork < Kevin < Dr. < ,Institut für Internationales und Europäisches Privatrecht und Rechtsvergleichung
153,Brams < Isabelle < Dr. < ,Institut für Öffentliches Recht
154,Brinkmann < Jan < Dr. < ,Institut für Zivil- und Wirtschaftsrecht
155,Campos < Ricardo < Dr. < ,Institut für Öffentliches Recht
156,Can < Osman < Prof. Dr. < ,Institut für Öffentliches Recht
157,Cazzola < Matilde < Dr. < ,Bitte manuell einfügen
158, <  <  < ,Bitte manuell einfügen
159,Cikar < Rusen <  < ,Institut für Öffentliches Recht
160,Cohen-Kläsener < Amy F. <  < ,Zentrum für Schlüsselqualifikationen
161,Dann < Matthias < Dr. < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
162,De Fatima Veiga < Maria <  < ,Zentrum für Schlüsselqualifikationen
163,Derin < Benjamin <  < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
164,Diebel < Justine < Dr. < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
165,Donath < Philipp Benjamin < Dr. < ,Institut für Öffentliches Recht
166,Eckl < Petra < Dr. < ,Institut für Zivil- und Wirtschaftsrecht
167, <  <  < ,Bitte manuell einfügen
168, <  <  < ,Bitte manuell einfügen
169,Engelhard < Alexander <  < ,Zentrum für Schlüsselqualifikationen
170,Espín Grau < Hannah <  < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
171,Esposito < Vito < Dr. < ,Zentrum für Schlüsselqualifikationen
172,Farthofer < Hilde < Dr. < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
173,Fontaine < Anna < Dr. < ,Institut für Öffentliches Recht
174,Fornauf < Marc < Dr. < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
175,Franke < Lucia <  < ,Institut für Zivil- und Wirtschaftsrecht
176,Freire < Alexandre < Prof. Dr. < ,Bitte manuell einfügen
177,Fritz < Robin L. < Dr. < ,Zentrum für Schlüsselqualifikationen
178,Gadodia < Stuti <  < ,Zentrum für Schlüsselqualifikationen
179,Gegenwart < Matthias <  < ,Institut für Öffentliches Recht
180,Gelardi < Giovanni < Dr. < ,Zentrum für Schlüsselqualifikationen
181,Georgi < Karin <  < ,Zentrum für Schlüsselqualifikationen
182, <  <  < ,Bitte manuell einfügen
183,Glienke < Tobias <  < ,Zentrum für Schlüsselqualifikationen
184,Gök < Alicja <  < ,Bitte manuell einfügen
185,Golia < Angelo Jr. < Dr. < ,Institut für Öffentliches Recht
186,Gözlügöl < Alperen Afşin < Dr. < ,Institut für Zivil- und Wirtschaftsrecht
187,Grupp < Michael <  < ,Zentrum für Schlüsselqualifikationen
188,Grzesiek < Mathias < Dr. < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
189,Hamama < Olga <  < ,Zentrum für Schlüsselqualifikationen
190,Hansen < Hauke < Dr. < ,Zentrum für Schlüsselqualifikationen
191,Hederer < Franz < Priv. Doz. Dr. < ,Institut für Rechtsgeschichte
192,Heger < Alexander < Dr. < ,Institut für Öffentliches Recht
193,Hering < Laura < Dr. < ,Bitte manuell einfügen
194,Hoffmann < Fabian <  < ,Institut für Internationales und Europäisches Privatrecht und Rechtsvergleichung
195,Hövel < Daniel <  < ,Zentrum für Schlüsselqualifikationen
196,Hübner < Yannic < Dr. < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
197,Jacobs < Laura <  < ,Institut für Öffentliches Recht
198,Jahn < Jannika < Dr. < ,Institut für Öffentliches Recht
199,Jarrett < Martin < Dr. < ,Angeschlossene und kooperierende Institute
200,Jauß < Steffen <  < ,Institut für Rechtsgeschichte
201,Jiménez < Victoria Garcia <  < ,Zentrum für Schlüsselqualifikationen
202,Kapoor < Sunny < Dr. < ,Zentrum für Schlüsselqualifikationen
203,Kaya < Nebi < Dr. < ,Zentrum für Schlüsselqualifikationen
204,Kilic < Memet <  < ,Zentrum für Schlüsselqualifikationen
205,Kixmöller < Luise <  < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
206,Klein < Nicolas < Dr. < ,Zentrum für Schlüsselqualifikationen
207,Koukiadis < Dimitrios < Dr. < ,Zentrum für Schlüsselqualifikationen
208,Kruse < Björn < Dr. < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
209,Kulp < Kevin < Dr. < ,Institut für Rechtsgeschichte
210,Lagardère < Pascal <  < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
211,Lapp < Thomas < Dr. < ,Institut für Öffentliches Recht
212,Lemoine < Sarah <  < ,Zentrum für Schlüsselqualifikationen
